# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\rjaud\Documents\385\Lab4\ece385sp16_lab4_adders\Adders.csv
# Generated on: Wed Feb 06 21:15:45 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Ahex0[0],Output,PIN_G18,7,B7_N2,PIN_AG3,,,,,,
Ahex0[1],Output,PIN_F22,7,B7_N0,PIN_R6,,,,,,
Ahex0[2],Output,PIN_E17,7,B7_N2,PIN_M1,,,,,,
Ahex0[3],Output,PIN_L26,6,B6_N1,PIN_L1,,,,,,
Ahex0[4],Output,PIN_L25,6,B6_N1,PIN_M8,,,,,,
Ahex0[5],Output,PIN_J22,6,B6_N0,PIN_V6,,,,,,
Ahex0[6],Output,PIN_H22,6,B6_N0,PIN_AH3,,,,,,
Ahex1[0],Output,PIN_M24,6,B6_N2,PIN_K8,,,,,,
Ahex1[1],Output,PIN_Y22,5,B5_N0,PIN_L8,,,,,,
Ahex1[2],Output,PIN_W21,5,B5_N1,PIN_J7,,,,,,
Ahex1[3],Output,PIN_W22,5,B5_N0,PIN_L3,,,,,,
Ahex1[4],Output,PIN_W25,5,B5_N1,PIN_G2,,,,,,
Ahex1[5],Output,PIN_U23,5,B5_N1,PIN_L6,,,,,,
Ahex1[6],Output,PIN_U24,5,B5_N0,PIN_N3,,,,,,
Ahex2[0],Output,PIN_AA25,5,B5_N1,PIN_W4,,,,,,
